model,accuracy,precision,recall,f1_score,roc_auc,gini,threshold,true_negatives_valid_detected,false_positives_valid_marked_risky,false_negatives_risky_marked_valid,true_positives_risky_detected,training_seconds,inference_seconds,selected
baseline_clase_mayoritaria,0.5167,0.5167,1.0,0.6813,0.5,0.0,0.5,0,29,0,31,8.6e-05,1e-05,0
regresion_logistica,0.8833,0.9286,0.8387,0.8814,0.9711,0.9422,0.5,27,2,5,26,0.11978,7.2e-05,0
random_forest,0.95,0.9118,1.0,0.9538,0.9967,0.9933,0.5,26,3,0,31,0.42125,0.02908,1
